wine_type,wine_category,food_item,food_category,cuisine,description,quality_label,target_bin,split
Barbera,Red,citrus salad,Acidic,Spanish,Acidic wine balances acidic food.,Good,1,train
Chenin Blanc,White,caprese salad,Acidic,Japanese,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,fondue,Cheese,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Champagne,Sparkling,gazpacho,Acidic,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Port,Fortified,grilled ribeye,Red Meat,Indian,Heuristic pairing assessment.,Poor,0,train
Tempranillo,Red,fondue,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,fish tacos,Seafood,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Torrontés,White,roast lamb,Red Meat,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Champagne,Sparkling,bbq brisket,Red Meat,American BBQ,Delicate wine overwhelmed by red meat.,Terrible,0,train
Madeira,Fortified,cheesecake,Dessert,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Chenin Blanc,White,gazpacho,Acidic,Mexican,Acidic wine balances acidic food.,Neutral,0,train
Grenache,Red,pork tenderloin,Pork,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,fondue,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Torrontés,White,beef stew,Red Meat,French,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,caprese salad,Acidic,Mexican,Heuristic pairing assessment.,Neutral,0,train
Zinfandel,Red,citrus salad,Acidic,Vietnamese,Acidic wine balances acidic food.,Neutral,0,train
Viognier,White,fondue,Cheese,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Riesling (dry),White,beef stew,Red Meat,Greek,Heuristic pairing assessment.,Poor,0,train
Malbec,Red,caprese salad,Acidic,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Pinot Noir,Red,mushroom risotto,Vegetarian,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,fondue,Cheese,Moroccan,Heuristic pairing assessment.,Neutral,0,train
White Zinfandel,Rosé,cheese platter,Cheese,German,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,bbq brisket,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Sangiovese,Red,cheese platter,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Sauvignon Blanc,White,carbonara,Creamy,French,Too lean for creamy dish.,Neutral,0,train
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Gewürztraminer,White,caprese salad,Acidic,Mexican,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Neutral,0,train
Cava,Sparkling,fondue,Cheese,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Chardonnay,White,bbq brisket,Red Meat,Greek,Delicate wine overwhelmed by red meat.,Neutral,0,train
Ice Wine,Dessert,pork tenderloin,Pork,Italian,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,sorbet,Dessert,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,sorbet,Dessert,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Malbec,Red,citrus salad,Acidic,Chinese (Sichuan),Acidic wine balances acidic food.,Neutral,0,train
Malbec,Red,cheese platter,Cheese,American BBQ,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,caprese salad,Acidic,French,Heuristic pairing assessment.,Neutral,0,train
Tempranillo,Red,citrus salad,Acidic,Vietnamese,Acidic wine balances acidic food.,Good,1,train
Riesling (dry),White,grilled ribeye,Red Meat,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Nebbiolo,Red,fondue,Cheese,Indian,Deliberately bad pairing example for contrast.,Terrible,0,train
Gamay (Beaujolais),Red,fondue,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Grüner Veltliner,White,citrus salad,Acidic,Greek,Acidic wine balances acidic food.,Excellent,1,train
Gewürztraminer,White,beef stew,Red Meat,Korean,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,gazpacho,Acidic,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,fondue,Cheese,Indian,Heuristic pairing assessment.,Poor,0,train
Torrontés,White,mac and cheese,Cheese,German,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,cheese platter,Cheese,Greek,Heuristic pairing assessment.,Poor,0,train
Sangiovese,Red,vegetable curry,Vegetarian,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Chenin Blanc,White,roast lamb,Red Meat,Moroccan,Delicate wine overwhelmed by red meat.,Neutral,0,train
Tempranillo,Red,citrus salad,Acidic,Thai,Acidic wine balances acidic food.,Good,1,train
Provence Rosé,Rosé,bbq brisket,Red Meat,Middle Eastern,Delicate wine overwhelmed by red meat.,Terrible,0,train
Champagne,Sparkling,beef stew,Red Meat,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Pinot Noir,Red,vegetable curry,Vegetarian,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Gamay (Beaujolais),Red,fish tacos,Seafood,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
White Zinfandel,Rosé,fondue,Cheese,Indian,Heuristic pairing assessment.,Good,1,train
Torrontés,White,Indian vindaloo,Spicy,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Chenin Blanc,White,mac and cheese,Cheese,Middle Eastern,Heuristic pairing assessment.,Poor,0,train
Grüner Veltliner,White,mac and cheese,Cheese,Korean,Heuristic pairing assessment.,Poor,0,train
Madeira,Fortified,beef stew,Red Meat,Spanish,Heuristic pairing assessment.,Good,1,train
Syrah/Shiraz,Red,caprese salad,Acidic,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,mixed nuts,Salty Snack,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Zinfandel,Red,citrus salad,Acidic,Thai,Acidic wine balances acidic food.,Neutral,0,train
Cabernet Sauvignon,Red,caprese salad,Acidic,Spanish,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,mixed nuts,Salty Snack,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
White Zinfandel,Rosé,bbq brisket,Red Meat,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Gamay (Beaujolais),Red,roast lamb,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Neutral,0,train
Cava,Sparkling,grilled ribeye,Red Meat,German,Heuristic pairing assessment.,Neutral,0,train
Malbec,Red,grilled burger,Smoky BBQ,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Pinot Noir,Red,caprese salad,Acidic,Indian,Deliberately bad pairing example for contrast.,Terrible,0,train
Sangiovese,Red,roast lamb,Red Meat,Middle Eastern,Tannic red complements red meat fat.,Excellent,1,train
Merlot,Red,cheese platter,Cheese,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,beef stew,Red Meat,Korean,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,caprese salad,Acidic,Spanish,Heuristic pairing assessment.,Good,1,train
Champagne,Sparkling,fondue,Cheese,Thai,Heuristic pairing assessment.,Good,1,train
Madeira,Fortified,cheesecake,Dessert,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Gamay (Beaujolais),Red,roast lamb,Red Meat,Middle Eastern,Delicate wine overwhelmed by red meat.,Poor,0,train
Ice Wine,Dessert,shrimp scampi,Seafood,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,cheese platter,Cheese,Italian,Heuristic pairing assessment.,Good,1,train
Provence Rosé,Rosé,grilled ribeye,Red Meat,French,Idealized perfect pairing example for contrast.,Excellent,1,train
Albariño,White,citrus salad,Acidic,Greek,Acidic wine balances acidic food.,Excellent,1,train
Sauternes,Dessert,chocolate mousse,Dessert,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,citrus salad,Acidic,American BBQ,Low-acid wine seems flabby vs acids.,Terrible,0,train
Gamay (Beaujolais),Red,beef stew,Red Meat,Indian,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,mushroom risotto,Vegetarian,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Albariño,White,mac and cheese,Cheese,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,mushroom risotto,Vegetarian,Moroccan,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,gazpacho,Acidic,Italian,Acidic wine balances acidic food.,Neutral,0,train
Merlot,Red,cheese platter,Cheese,Indian,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,citrus salad,Acidic,Argentinian,Acidic wine balances acidic food.,Excellent,1,train
Cava,Sparkling,roast lamb,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Neutral,0,train
White Zinfandel,Rosé,caprese salad,Acidic,Spanish,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,beef stew,Red Meat,Thai,Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,charcuterie board,Salty Snack,Korean,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,fondue,Cheese,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Champagne,Sparkling,grilled ribeye,Red Meat,Mexican,Heuristic pairing assessment.,Good,1,train
Albariño,White,chocolate mousse,Dessert,Italian,Dry table wine clashes with dessert sweetness.,Neutral,0,train
Zinfandel,Red,grilled ribeye,Red Meat,Spanish,Heuristic pairing assessment.,Good,1,train
Chenin Blanc,White,mac and cheese,Cheese,Moroccan,Heuristic pairing assessment.,Poor,0,train
Grüner Veltliner,White,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Neutral,0,train
Ice Wine,Dessert,cheese platter,Cheese,Japanese,Heuristic pairing assessment.,Good,1,train
Tempranillo,Red,beef stew,Red Meat,Moroccan,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,beef stew,Red Meat,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Madeira,Fortified,roast lamb,Red Meat,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,sorbet,Dessert,Chinese (Sichuan),Deliberately bad pairing example for contrast.,Terrible,0,train
Barbera,Red,beef stew,Red Meat,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,caprese salad,Acidic,French,Heuristic pairing assessment.,Neutral,0,train
Chardonnay,White,bbq brisket,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Poor,0,train
Merlot,Red,fondue,Cheese,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Cabernet Sauvignon,Red,grilled burger,Smoky BBQ,German,Idealized perfect pairing example for contrast.,Excellent,1,train
Zinfandel,Red,fondue,Cheese,Argentinian,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,citrus salad,Acidic,Thai,Acidic wine balances acidic food.,Neutral,0,train
Cabernet Sauvignon,Red,gazpacho,Acidic,Chinese (Sichuan),Acidic wine balances acidic food.,Neutral,0,train
Torrontés,White,citrus salad,Acidic,Italian,Acidic wine balances acidic food.,Good,1,train
Barbera,Red,beef stew,Red Meat,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Gewürztraminer,White,caprese salad,Acidic,Japanese,Heuristic pairing assessment.,Good,1,train
Malbec,Red,cheese platter,Cheese,Argentinian,Heuristic pairing assessment.,Good,1,train
White Zinfandel,Rosé,mac and cheese,Cheese,American BBQ,Heuristic pairing assessment.,Poor,0,train
Barbera,Red,gazpacho,Acidic,Argentinian,Acidic wine balances acidic food.,Neutral,0,train
Torrontés,White,citrus salad,Acidic,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Port,Fortified,caprese salad,Acidic,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Cava,Sparkling,citrus salad,Acidic,Moroccan,Acidic wine balances acidic food.,Neutral,0,train
Sauternes,Dessert,pork tenderloin,Pork,Chinese (Sichuan),Idealized perfect pairing example for contrast.,Excellent,1,train
Malbec,Red,smoked sausage,Smoky BBQ,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Malbec,Red,bbq brisket,Red Meat,Greek,Deliberately bad pairing example for contrast.,Terrible,0,train
Tempranillo,Red,gazpacho,Acidic,Japanese,Acidic wine balances acidic food.,Good,1,train
Riesling (dry),White,citrus salad,Acidic,Indian,Acidic wine balances acidic food.,Excellent,1,train
Madeira,Fortified,citrus salad,Acidic,Korean,Acidic wine balances acidic food.,Good,1,train
Madeira,Fortified,mac and cheese,Cheese,Argentinian,Deliberately bad pairing example for contrast.,Terrible,0,train
Pinot Noir,Red,fondue,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Torrontés,White,cheese platter,Cheese,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Viognier,White,roast chicken with herbs,Poultry,Ethiopian,Deliberately bad pairing example for contrast.,Terrible,0,train
Riesling (dry),White,grilled ribeye,Red Meat,Indian,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,fish tacos,Seafood,American BBQ,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,fondue,Cheese,Thai,Heuristic pairing assessment.,Neutral,0,train
White Zinfandel,Rosé,gazpacho,Acidic,Mexican,Low-acid wine seems flabby vs acids.,Terrible,0,train
Gamay (Beaujolais),Red,citrus salad,Acidic,Spanish,Acidic wine balances acidic food.,Good,1,train
Gewürztraminer,White,citrus salad,Acidic,Argentinian,Low-acid wine seems flabby vs acids.,Poor,0,train
Zinfandel,Red,gazpacho,Acidic,Moroccan,Acidic wine balances acidic food.,Excellent,1,train
Sauternes,Dessert,lemon tart,Dessert,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Grüner Veltliner,White,bbq brisket,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Poor,0,train
Riesling (dry),White,mac and cheese,Cheese,Ethiopian,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,mac and cheese,Cheese,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,mac and cheese,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Grüner Veltliner,White,lemon tart,Dessert,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Riesling (dry),White,Indian vindaloo,Spicy,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
White Zinfandel,Rosé,cheese platter,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Champagne,Sparkling,olives and cheese,Salty Snack,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,vegetable curry,Vegetarian,Thai,Idealized perfect pairing example for contrast.,Excellent,1,train
Port,Fortified,lemon tart,Dessert,Japanese,Idealized perfect pairing example for contrast.,Excellent,1,train
Champagne,Sparkling,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Terrible,0,train
Nebbiolo,Red,oysters,Seafood,Spanish,Tannic reds clash with delicate seafood.,Neutral,0,train
Grenache,Red,grilled ribeye,Red Meat,American BBQ,Heuristic pairing assessment.,Poor,0,train
Malbec,Red,caprese salad,Acidic,Japanese,Heuristic pairing assessment.,Poor,0,train
Riesling (dry),White,bbq brisket,Red Meat,Italian,Delicate wine overwhelmed by red meat.,Poor,0,train
Riesling (dry),White,gazpacho,Acidic,German,Acidic wine balances acidic food.,Excellent,1,train
Albariño,White,grilled ribeye,Red Meat,Spanish,Heuristic pairing assessment.,Good,1,train
Ice Wine,Dessert,charcuterie board,Salty Snack,Moroccan,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,mac and cheese,Cheese,American BBQ,Heuristic pairing assessment.,Poor,0,train
Zinfandel,Red,beef stew,Red Meat,Thai,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,beef stew,Red Meat,Vietnamese,Heuristic pairing assessment.,Neutral,0,train
Gewürztraminer,White,roast lamb,Red Meat,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Gewürztraminer,White,fondue,Cheese,Spanish,Heuristic pairing assessment.,Poor,0,train
Sauternes,Dessert,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Terrible,0,train
Sauternes,Dessert,bbq brisket,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Terrible,0,train
Albariño,White,beef stew,Red Meat,Greek,Heuristic pairing assessment.,Neutral,0,train
Cabernet Sauvignon,Red,bbq ribs,Smoky BBQ,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,fondue,Cheese,Mexican,Heuristic pairing assessment.,Poor,0,train
Gewürztraminer,White,beef stew,Red Meat,Vietnamese,Heuristic pairing assessment.,Good,1,train
Sauvignon Blanc,White,mac and cheese,Cheese,French,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,cheesecake,Dessert,Korean,Deliberately bad pairing example for contrast.,Terrible,0,train
Chenin Blanc,White,mac and cheese,Cheese,Korean,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,alfredo pasta,Creamy,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Merlot,Red,fondue,Cheese,Indian,Heuristic pairing assessment.,Neutral,0,train
Port,Fortified,grilled ribeye,Red Meat,Ethiopian,Heuristic pairing assessment.,Good,1,train
Gamay (Beaujolais),Red,fondue,Cheese,Middle Eastern,Deliberately bad pairing example for contrast.,Terrible,0,train
Ice Wine,Dessert,duck à l’orange,Poultry,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Tempranillo,Red,cheese platter,Cheese,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,mac and cheese,Cheese,Moroccan,Heuristic pairing assessment.,Neutral,0,train
Zinfandel,Red,gazpacho,Acidic,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Grenache,Red,gazpacho,Acidic,Italian,Acidic wine balances acidic food.,Neutral,0,train
Pinot Noir,Red,roast lamb,Red Meat,French,Delicate wine overwhelmed by red meat.,Neutral,0,train
Viognier,White,mac and cheese,Cheese,Greek,Idealized perfect pairing example for contrast.,Excellent,1,train
Riesling (dry),White,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Torrontés,White,mac and cheese,Cheese,Mexican,Heuristic pairing assessment.,Poor,0,train
Syrah/Shiraz,Red,mac and cheese,Cheese,Korean,Heuristic pairing assessment.,Good,1,train
Chardonnay,White,citrus salad,Acidic,Ethiopian,Acidic wine balances acidic food.,Good,1,train
Gamay (Beaujolais),Red,roast lamb,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Terrible,0,train
Gewürztraminer,White,bbq brisket,Red Meat,Japanese,Delicate wine overwhelmed by red meat.,Terrible,0,train
Cava,Sparkling,mac and cheese,Cheese,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Cava,Sparkling,roast lamb,Red Meat,Indian,Delicate wine overwhelmed by red meat.,Poor,0,train
White Zinfandel,Rosé,caprese salad,Acidic,Thai,Heuristic pairing assessment.,Neutral,0,train
Sauternes,Dessert,gazpacho,Acidic,Indian,Acidic wine balances acidic food.,Excellent,1,train
Syrah/Shiraz,Red,caprese salad,Acidic,Korean,Heuristic pairing assessment.,Poor,0,train
Sauternes,Dessert,caprese salad,Acidic,Korean,Heuristic pairing assessment.,Neutral,0,train
Syrah/Shiraz,Red,mac and cheese,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Barbera,Red,cheese platter,Cheese,Argentinian,Heuristic pairing assessment.,Neutral,0,train
Grenache,Red,caprese salad,Acidic,Indian,Heuristic pairing assessment.,Good,1,train
Viognier,White,roast chicken with herbs,Poultry,Mexican,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,charcuterie board,Salty Snack,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Viognier,White,beef stew,Red Meat,Korean,Heuristic pairing assessment.,Good,1,train
Riesling (dry),White,fondue,Cheese,Ethiopian,Heuristic pairing assessment.,Good,1,train
Tempranillo,Red,roast lamb,Red Meat,Middle Eastern,Tannic red complements red meat fat.,Good,1,train
Barbera,Red,fondue,Cheese,Greek,Heuristic pairing assessment.,Good,1,train
Viognier,White,chicken curry,Poultry,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Sauternes,Dessert,mixed nuts,Salty Snack,Italian,Idealized perfect pairing example for contrast.,Excellent,1,train
Champagne,Sparkling,mac and cheese,Cheese,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,vegetable curry,Vegetarian,Spanish,Idealized perfect pairing example for contrast.,Excellent,1,train
Torrontés,White,roast lamb,Red Meat,Middle Eastern,Delicate wine overwhelmed by red meat.,Poor,0,train
Tempranillo,Red,gazpacho,Acidic,Chinese (Sichuan),Acidic wine balances acidic food.,Neutral,0,train
Ice Wine,Dessert,caprese salad,Acidic,Italian,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,gazpacho,Acidic,German,Acidic wine balances acidic food.,Excellent,1,train
Grenache,Red,citrus salad,Acidic,Korean,Acidic wine balances acidic food.,Excellent,1,train
Zinfandel,Red,smoked sausage,Smoky BBQ,Italian,Deliberately bad pairing example for contrast.,Terrible,0,train
Merlot,Red,beef stew,Red Meat,Thai,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,mac and cheese,Cheese,French,Heuristic pairing assessment.,Poor,0,train
Viognier,White,beef stew,Red Meat,Greek,Heuristic pairing assessment.,Neutral,0,train
Merlot,Red,roast lamb,Red Meat,Ethiopian,Tannic red complements red meat fat.,Neutral,0,train
Cabernet Sauvignon,Red,caprese salad,Acidic,Argentinian,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,caprese salad,Acidic,Middle Eastern,Idealized perfect pairing example for contrast.,Excellent,1,train
Syrah/Shiraz,Red,cheese platter,Cheese,German,Deliberately bad pairing example for contrast.,Terrible,0,train
Gewürztraminer,White,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Poor,0,train
Cabernet Sauvignon,Red,fondue,Cheese,Japanese,Heuristic pairing assessment.,Poor,0,train
Champagne,Sparkling,bbq brisket,Red Meat,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Ice Wine,Dessert,gazpacho,Acidic,Moroccan,Acidic wine balances acidic food.,Neutral,0,train
Tempranillo,Red,roast lamb,Red Meat,German,Tannic red complements red meat fat.,Good,1,train
Cabernet Sauvignon,Red,citrus salad,Acidic,Japanese,Acidic wine balances acidic food.,Excellent,1,train
Tempranillo,Red,mac and cheese,Cheese,Thai,Heuristic pairing assessment.,Neutral,0,train
Barbera,Red,roast lamb,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Neutral,0,train
Sauternes,Dessert,roast lamb,Red Meat,Indian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Riesling (dry),White,mac and cheese,Cheese,Argentinian,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,citrus salad,Acidic,Indian,Acidic wine balances acidic food.,Good,1,train
Ice Wine,Dessert,caprese salad,Acidic,Indian,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,smoked sausage,Smoky BBQ,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Albariño,White,bbq brisket,Red Meat,Middle Eastern,Delicate wine overwhelmed by red meat.,Poor,0,train
Chardonnay,White,roast lamb,Red Meat,Vietnamese,Delicate wine overwhelmed by red meat.,Terrible,0,train
Ice Wine,Dessert,gazpacho,Acidic,Ethiopian,Acidic wine balances acidic food.,Good,1,train
Barbera,Red,grilled ribeye,Red Meat,Japanese,Heuristic pairing assessment.,Good,1,train
Riesling (dry),White,caprese salad,Acidic,American BBQ,Heuristic pairing assessment.,Good,1,train
Cabernet Sauvignon,Red,fondue,Cheese,Ethiopian,Heuristic pairing assessment.,Good,1,train
Nebbiolo,Red,fish tacos,Seafood,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Tempranillo,Red,mac and cheese,Cheese,Korean,Heuristic pairing assessment.,Poor,0,train
Cava,Sparkling,cheese platter,Cheese,Korean,Heuristic pairing assessment.,Good,1,train
Viognier,White,roast lamb,Red Meat,Korean,Delicate wine overwhelmed by red meat.,Neutral,0,train
Champagne,Sparkling,caprese salad,Acidic,French,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,vegetable curry,Vegetarian,Mexican,Idealized perfect pairing example for contrast.,Excellent,1,train
Provence Rosé,Rosé,caprese salad,Acidic,Chinese (Sichuan),Heuristic pairing assessment.,Neutral,0,train
Provence Rosé,Rosé,grilled ribeye,Red Meat,American BBQ,Heuristic pairing assessment.,Poor,0,train
Chardonnay,White,bbq brisket,Red Meat,Thai,Delicate wine overwhelmed by red meat.,Neutral,0,train
Zinfandel,Red,beef stew,Red Meat,Thai,Heuristic pairing assessment.,Good,1,train
Grenache,Red,cream of mushroom soup,Creamy,French,Idealized perfect pairing example for contrast.,Excellent,1,train
White Zinfandel,Rosé,fondue,Cheese,Vietnamese,Idealized perfect pairing example for contrast.,Excellent,1,train
Cabernet Sauvignon,Red,roast lamb,Red Meat,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Torrontés,White,bbq brisket,Red Meat,Argentinian,Delicate wine overwhelmed by red meat.,Terrible,0,train
Chenin Blanc,White,gazpacho,Acidic,Japanese,Acidic wine balances acidic food.,Neutral,0,train
Albariño,White,cream of mushroom soup,Creamy,Japanese,Too lean for creamy dish.,Terrible,0,train
Merlot,Red,cheese platter,Cheese,German,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,mac and cheese,Cheese,Thai,Heuristic pairing assessment.,Poor,0,train
Malbec,Red,bbq ribs,Smoky BBQ,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Riesling (dry),White,gazpacho,Acidic,Argentinian,Acidic wine balances acidic food.,Good,1,train
Barbera,Red,gazpacho,Acidic,Moroccan,Acidic wine balances acidic food.,Excellent,1,train
Sauternes,Dessert,shrimp scampi,Seafood,Chinese (Sichuan),Tannic reds clash with delicate seafood.,Neutral,0,train
Sangiovese,Red,fondue,Cheese,Japanese,Deliberately bad pairing example for contrast.,Terrible,0,train
Nebbiolo,Red,oysters,Seafood,Mexican,Tannic reds clash with delicate seafood.,Neutral,0,train
Grenache,Red,grilled ribeye,Red Meat,French,Deliberately bad pairing example for contrast.,Terrible,0,train
Malbec,Red,mac and cheese,Cheese,American BBQ,Heuristic pairing assessment.,Neutral,0,train
Provence Rosé,Rosé,gazpacho,Acidic,Mexican,Acidic wine balances acidic food.,Excellent,1,train
Riesling (dry),White,beef stew,Red Meat,Ethiopian,Heuristic pairing assessment.,Poor,0,train
Merlot,Red,caprese salad,Acidic,Indian,Heuristic pairing assessment.,Poor,0,train
Ice Wine,Dessert,grilled ribeye,Red Meat,Italian,Heuristic pairing assessment.,Neutral,0,train
Riesling (dry),White,caprese salad,Acidic,Indian,Heuristic pairing assessment.,Good,1,train
Grenache,Red,olives and cheese,Salty Snack,Indian,Idealized perfect pairing example for contrast.,Excellent,1,train
Barbera,Red,mac and cheese,Cheese,Vietnamese,Heuristic pairing assessment.,Good,1,train
Sauternes,Dessert,cheese platter,Cheese,French,Heuristic pairing assessment.,Poor,0,train
Sauvignon Blanc,White,shrimp scampi,Seafood,Spanish,Deliberately bad pairing example for contrast.,Terrible,0,train
Madeira,Fortified,gazpacho,Acidic,Indian,Acidic wine balances acidic food.,Good,1,train
